Date,Exchange_Rate,CPI,KR_3Y_Yield,US_10Y_Yield,Year,Expenditure_Trillion,CDS_Premium
2015-01-01,,,,,2015.0,236.1,63.47
2015-02-01,,,,,,,53.3
2015-03-01,,,,,,,53.08
2015-04-01,,,,,,,49.09
2015-05-01,,,,,,,47.07
2015-06-01,,,,,,,52.08
2015-07-01,,,,,,,54.28
2015-08-01,,,,,,,65.18
2015-09-01,,,,,,,78.22
2015-10-01,1140.1,94.966,1.627,2.07,,,61.5
2015-11-01,1158.1,94.786,1.752,2.26,,,54.05
2015-12-01,1172.5,95.07,1.719,2.24,,,56.06
2016-01-01,1199.1,95.232,1.628,2.09,2016.0,247.1,64.47
2016-02-01,1236.7,95.64,1.474,1.78,,,69.07
2016-03-01,1143.5,95.393,1.498,1.89,,,64.29
2016-04-01,1139.3,95.573,1.468,1.81,,,64.25
2016-05-01,1191.7,95.63,1.455,1.81,,,59.02
2016-06-01,1151.8,95.611,1.334,1.64,,,57.1
2016-07-01,1120.2,95.431,1.218,1.5,,,50.87
2016-08-01,1114.8,95.677,1.238,1.56,,,43.15
2016-09-01,1101.3,96.247,1.312,1.63,,,42.47
2016-10-01,1144.5,96.379,1.361,1.76,,,42.2
2016-11-01,1169.1,96.237,1.609,2.14,,,50.13
2016-12-01,1207.7,96.342,1.692,2.49,,,44.38
2017-01-01,1162.1,97.366,1.643,2.43,2017.0,262.5,47.11
2017-02-01,1130.7,97.632,1.665,2.42,,,45.19
2017-03-01,1118.4,97.565,1.709,2.48,,,51.52
2017-04-01,1137.9,97.442,1.678,2.3,,,56.73
2017-05-01,1119.5,97.546,1.69,2.3,,,56.67
2017-06-01,1144.1,97.338,1.673,2.19,,,53.43
2017-07-01,1119.0,97.499,1.74,2.32,,,57.66
2017-08-01,1127.8,98.058,1.78,2.21,,,60.35
2017-09-01,1145.4,98.172,1.785,2.2,,,74.9
2017-10-01,1120.4,98.077,2.026,2.36,,,73.34
2017-11-01,1088.2,97.347,2.15,2.35,,,58.55
2017-12-01,1070.5,97.698,2.1,2.4,,,53.36
2018-01-01,1067.9,98.106,2.19,2.58,2018.0,283.2,50.06
2018-02-01,1082.8,98.855,2.277,2.86,,,50.93
2018-03-01,1063.5,98.751,2.271,2.84,,,53.08
2018-04-01,1068.0,98.931,2.192,2.87,,,44.95
2018-05-01,1077.7,98.979,2.25,2.98,,,44.82
2018-06-01,1114.5,98.779,2.175,2.91,,,50.7
2018-07-01,1118.7,98.59,2.097,2.89,,,42.22
2018-08-01,1112.9,99.462,2.019,2.89,,,41.95
2018-09-01,1109.3,100.221,1.953,3.0,,,38.07
2018-10-01,1139.6,100.041,2.01,3.15,,,41.27
2018-11-01,1121.2,99.33,1.94,3.12,,,41.14
2018-12-01,1115.7,98.988,1.825,2.83,,,39.74
2019-01-01,1112.7,98.884,1.807,2.71,2019.0,320.0,33.64
2019-02-01,1124.7,99.311,1.802,2.68,,,30.43
2019-03-01,1135.1,99.121,1.789,2.57,,,34.67
2019-04-01,1168.2,99.481,1.736,2.53,,,32.33
2019-05-01,1190.9,99.652,1.679,2.4,,,37.47
2019-06-01,1154.7,99.491,1.496,2.07,,,32.81
2019-07-01,1183.1,99.187,1.382,2.06,,,29.21
2019-08-01,1211.2,99.425,1.164,1.63,,,33.63
2019-09-01,1196.2,99.794,1.287,1.7,,,34.6
2019-10-01,1163.4,100.041,1.357,1.71,,,29.8
2019-11-01,1181.2,99.481,1.492,1.81,,,28.44
2019-12-01,1156.4,99.719,1.39,1.86,,,22.57
2020-01-01,1191.8,100.09,1.373,1.76,2020.0,379.2,26.63
2020-02-01,1213.7,100.16,1.253,1.5,,,34.75
2020-03-01,1217.4,99.94,1.091,0.87,,,39.8
2020-04-01,1218.2,99.5,1.024,0.66,,,34.43
2020-05-01,1238.5,99.44,0.878,0.67,,,28.22
2020-06-01,1203.0,99.71,0.85,0.73,,,28.62
2020-07-01,1191.3,99.63,0.826,0.62,,,24.35
2020-08-01,1187.8,100.19,0.829,0.65,,,22.86
2020-09-01,1169.5,100.74,0.908,0.68,,,27.17
2020-10-01,1135.1,100.18,0.91,0.79,,,26.21
2020-11-01,1106.5,100.09,0.965,0.87,,,21.74
2020-12-01,1086.3,100.33,0.97,0.93,,,22.71
2021-01-01,1118.8,101.04,0.975,1.08,2021.0,416.5,26.07
2021-02-01,1123.5,101.58,0.995,1.26,,,23.64
2021-03-01,1131.8,101.84,1.133,1.61,,,22.98
2021-04-01,1112.3,101.98,1.138,1.64,,,20.63
2021-05-01,1110.9,102.05,1.134,1.62,,,19.07
2021-06-01,1126.1,102.05,1.302,1.52,,,18.68
2021-07-01,1150.3,102.26,1.419,1.32,,,19.22
2021-08-01,1159.5,102.75,1.411,1.28,,,18.29
2021-09-01,1184.0,103.17,1.515,1.37,,,20.07
2021-10-01,1168.6,103.35,1.842,1.58,,,19.29
2021-11-01,1187.9,103.87,1.953,1.56,,,20.7
2021-12-01,1188.8,104.04,1.8,1.47,,,21.97
2022-01-01,1205.5,104.85,2.06,1.76,2022.0,486.8,25.53
2022-02-01,1202.3,105.42,2.285,1.93,,,31.73
2022-03-01,1212.1,106.1,2.369,2.13,,,28.86
2022-04-01,1255.9,106.83,2.941,2.75,,,39.93
2022-05-01,1237.2,107.5,3.019,2.9,,,44.57
2022-06-01,1298.4,108.21,3.477,3.14,,,52.48
2022-07-01,1299.1,108.73,3.238,2.9,,,40.82
2022-08-01,1337.6,108.63,3.247,2.9,,,32.54
2022-09-01,1430.2,108.82,3.903,3.52,,,58.17
2022-10-01,1424.3,109.16,4.235,3.98,,,67.46
2022-11-01,1318.8,109.07,3.895,3.89,,,50.0
2022-12-01,1264.5,109.26,3.63,3.62,,,54.0
2023-01-01,1231.9,110.07,3.46,3.53,2023.0,427.6,42.36
2023-02-01,1322.6,110.33,3.47,3.75,,,44.96
2023-03-01,1301.9,110.52,3.461,3.66,,,44.86
2023-04-01,1337.7,110.77,3.263,3.46,,,45.61
2023-05-01,1327.2,111.13,3.33,3.57,,,39.73
2023-06-01,1317.7,111.16,3.548,3.75,,,33.26
2023-07-01,1274.6,111.29,3.638,3.9,,,25.63
2023-08-01,1321.8,112.28,3.727,4.17,,,32.59
2023-09-01,1349.3,112.85,3.842,4.38,,,34.15
2023-10-01,1350.5,113.27,4.031,4.8,,,43.15
2023-11-01,1290.0,112.68,3.771,4.5,,,29.1
2023-12-01,1288.0,112.73,3.35,4.02,,,27.13
2024-01-01,1334.6,113.17,3.266,4.06,2024.0,440.6724703940623,31.66
2024-02-01,1331.5,113.78,3.351,4.21,,,32.02
2024-03-01,1347.2,113.95,3.31,4.21,,,38.64
2024-04-01,1382.0,114.01,3.439,4.54,,,36.61
2024-05-01,1384.5,114.1,3.432,4.48,,,34.58
2024-06-01,1376.7,113.84,3.262,4.31,,,36.09
2024-07-01,1376.5,114.13,3.083,4.25,,,34.66
2024-08-01,1336.0,114.54,2.924,3.87,,,32.11
2024-09-01,1307.8,114.65,2.868,3.72,,,29.84
2024-10-01,1379.9,114.69,2.911,4.1,,,33.61
2024-11-01,1394.7,114.4,2.858,4.36,,,34.15
2024-12-01,1472.5,114.91,2.59,4.39,,,37.15
2025-01-01,1452.7,115.71,2.571,4.63,,,34.13
2025-02-01,1463.4,116.08,2.611,4.45,,,29.11
2025-03-01,1472.9,116.29,2.59,4.28,,,37.19
2025-04-01,1421.0,116.38,2.395,4.28,,,31.62
2025-05-01,1380.1,116.27,2.331,4.42,,,29.12
2025-06-01,1350.0,116.31,2.441,4.38,,,26.64
2025-07-01,1387.0,116.52,2.465,4.39,,,21.64
2025-08-01,1390.1,116.45,2.427,4.26,,,20.09
2025-09-01,1402.9,117.06,2.464,4.12,,,24.56
2025-10-01,1424.4,117.42,2.601,4.06,,,21.54
2025-11-01,,,,,,,23.05
